IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
138.2.226.15,443,443,true,SJC,North America,San Jose,206,4.17
131.186.60.210,443,443,true,NRT,Asia Pacific,Tokyo,71,4.16
141.147.75.137,443,443,true,FRA,Europe,Frankfurt,266,4.14
141.147.9.201,443,443,true,FRA,Europe,Frankfurt,269,4.13
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,328,4.13
84.235.171.231,443,443,true,FRA,Europe,Frankfurt,336,4.12
146.235.219.98,443,443,true,SJC,North America,San Jose,214,4.10
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,104,4.10
141.148.227.200,443,443,true,FRA,Europe,Frankfurt,209,4.10
130.61.185.98,443,443,true,FRA,Europe,Frankfurt,249,4.10
141.147.106.36,443,443,true,FRA,Europe,Frankfurt,349,4.02
84.235.172.200,443,443,true,FRA,Europe,Frankfurt,334,4.01
158.101.164.251,443,443,true,FRA,Europe,Frankfurt,273,4.01
152.67.150.53,443,443,true,FRA,Europe,Frankfurt,345,3.96
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,70,3.95
144.24.172.18,443,443,true,FRA,Europe,Frankfurt,344,3.90
132.226.135.83,443,443,true,FRA,Europe,Frankfurt,192,3.89
141.144.251.89,443,443,true,FRA,Europe,Frankfurt,333,3.85
158.180.231.216,443,443,true,MRS,Europe,Marseille,253,3.83
89.168.103.6,443,443,true,FRA,Europe,Frankfurt,341,3.83
152.70.60.251,443,443,true,FRA,Europe,Frankfurt,291,3.82
141.147.22.48,443,443,true,FRA,Europe,Frankfurt,249,3.81
150.230.125.49,443,443,true,FRA,Europe,Frankfurt,338,3.76
150.136.61.148,443,443,true,IAD,North America,Ashburn,247,3.72
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,284,3.69
141.145.206.16,8443,443,true,CDG,Europe,Paris,388,3.68
141.144.225.11,443,443,true,FRA,Europe,Frankfurt,329,3.68
129.159.205.1,443,443,true,FRA,Europe,Frankfurt,248,3.65
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,284,3.64
158.180.63.206,443,443,true,FRA,Europe,Frankfurt,184,3.60
130.162.50.84,443,443,true,FRA,Europe,Frankfurt,258,3.58
141.148.234.84,443,443,true,FRA,Europe,Frankfurt,335,3.55
141.148.235.181,443,443,true,FRA,Europe,Frankfurt,231,3.55
138.3.251.80,443,443,true,FRA,Europe,Frankfurt,249,3.54
84.235.174.212,443,443,true,FRA,Europe,Frankfurt,291,3.54
150.230.119.134,443,443,true,FRA,Europe,Frankfurt,262,3.53
132.226.134.154,443,443,true,FRA,Europe,Frankfurt,260,3.53
144.21.33.31,443,443,true,FRA,Europe,Frankfurt,254,3.53
193.123.63.4,443,443,true,FRA,Europe,Frankfurt,271,3.52
152.70.186.192,443,443,true,FRA,Europe,Frankfurt,247,3.51
141.148.243.56,443,443,true,FRA,Europe,Frankfurt,253,3.50
132.145.11.37,443,443,true,FRA,Europe,Frankfurt,289,3.47
