IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.82.76.253,80,80,false,SEA,North America,Seattle,158,0.00
34.82.48.25,443,80,false,SEA,North America,Seattle,158,0.00
34.82.48.25,443,80,false,SEA,North America,Seattle,158,0.00
34.82.48.25,443,80,false,SEA,North America,Seattle,158,0.00
34.82.48.25,80,80,false,SEA,North America,Seattle,159,0.00
34.82.48.25,443,80,false,SEA,North America,Seattle,162,0.00
34.127.31.17,80,80,false,SEA,North America,Seattle,163,0.00
34.127.31.17,80,80,false,SEA,North America,Seattle,167,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,170,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,170,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,173,0.00
34.127.31.17,80,80,false,SEA,North America,Seattle,182,0.00
34.65.7.59,443,443,true,FRA,Europe,Frankfurt,189,0.00
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,198,0.00
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,198,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,198,0.00
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,199,0.00
34.175.99.73,2052,80,false,MAD,Europe,Madrid,199,0.00
34.175.168.99,2082,80,false,MAD,Europe,Madrid,200,0.00
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,200,0.00
34.175.161.245,2053,80,false,MAD,Europe,Madrid,200,0.00
34.175.168.99,2083,80,false,MAD,Europe,Madrid,200,0.00
34.175.133.251,2052,80,false,MAD,Europe,Madrid,200,0.00
34.175.133.251,2086,80,false,MAD,Europe,Madrid,201,0.00
34.175.7.231,2053,80,false,MAD,Europe,Madrid,201,0.00
34.175.244.157,2096,80,false,MAD,Europe,Madrid,202,0.00
34.175.99.73,2082,80,false,MAD,Europe,Madrid,202,0.00
34.175.99.73,2096,80,false,MAD,Europe,Madrid,202,0.00
34.175.7.231,2087,80,false,MAD,Europe,Madrid,202,0.00
34.175.95.58,2082,80,false,MAD,Europe,Madrid,202,0.00
34.175.161.245,2052,80,false,MAD,Europe,Madrid,203,0.00
34.175.244.157,2082,80,false,MAD,Europe,Madrid,203,0.00
34.175.99.73,2086,80,false,MAD,Europe,Madrid,203,0.00
34.175.133.251,2083,80,false,MAD,Europe,Madrid,204,0.00
34.175.95.58,2052,80,false,MAD,Europe,Madrid,205,0.00
34.175.161.245,2082,80,false,MAD,Europe,Madrid,205,0.00
34.175.244.157,2087,80,false,MAD,Europe,Madrid,205,0.00
34.175.95.58,2095,80,false,MAD,Europe,Madrid,205,0.00
