IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.219.131,443,443,true,FRA,Europe,Frankfurt,271,2.17
34.154.172.239,443,443,true,FRA,Europe,Frankfurt,261,2.12
34.154.13.74,443,443,true,FRA,Europe,Frankfurt,255,2.12
34.65.229.117,443,443,true,FRA,Europe,Frankfurt,317,2.08
34.154.221.184,443,443,true,FRA,Europe,Frankfurt,260,2.08
34.154.39.92,443,443,true,FRA,Europe,Frankfurt,260,2.06
34.154.197.21,443,443,true,FRA,Europe,Frankfurt,265,1.98
34.154.13.177,443,443,true,FRA,Europe,Frankfurt,230,1.98
34.154.42.27,443,443,true,FRA,Europe,Frankfurt,261,1.96
34.154.36.170,443,443,true,FRA,Europe,Frankfurt,253,1.94
34.118.101.112,443,443,true,FRA,Europe,Frankfurt,311,1.92
34.154.64.132,443,443,true,FRA,Europe,Frankfurt,251,1.91
34.118.32.141,443,443,true,FRA,Europe,Frankfurt,300,1.91
34.154.188.239,443,443,true,FRA,Europe,Frankfurt,260,1.89
34.34.64.251,443,443,true,FRA,Europe,Frankfurt,290,1.87
34.118.108.19,443,443,true,FRA,Europe,Frankfurt,327,1.80
34.118.50.141,443,443,true,FRA,Europe,Frankfurt,287,1.80
34.116.171.221,443,443,true,FRA,Europe,Frankfurt,263,1.72
34.154.116.83,443,443,true,FRA,Europe,Frankfurt,272,1.68
34.116.218.15,443,443,true,FRA,Europe,Frankfurt,209,1.68
35.204.164.131,443,443,true,FRA,Europe,Frankfurt,275,1.66
34.154.27.200,443,443,true,FRA,Europe,Frankfurt,262,1.61
34.118.47.106,443,443,true,FRA,Europe,Frankfurt,311,1.60
34.118.48.35,443,443,true,FRA,Europe,Frankfurt,297,1.51
34.154.132.100,443,443,true,FRA,Europe,Frankfurt,206,1.49
34.118.122.123,443,443,true,FRA,Europe,Frankfurt,307,1.44
34.118.123.8,443,443,true,FRA,Europe,Frankfurt,302,1.43
34.118.103.198,443,443,true,FRA,Europe,Frankfurt,297,1.41
34.154.142.7,443,443,true,FRA,Europe,Frankfurt,252,1.37
34.118.102.129,443,443,true,FRA,Europe,Frankfurt,243,1.36
34.154.97.127,443,443,true,FRA,Europe,Frankfurt,265,1.32
34.118.69.245,443,443,true,FRA,Europe,Frankfurt,228,1.24
34.80.157.249,443,443,true,TPE,Asia Pacific,Taipei,77,1.24
34.154.23.240,443,443,true,FRA,Europe,Frankfurt,202,1.06
